;Round;Track;Alexander Albon;Carlos Sainz;Charles Leclerc;Daniel Ricciardo;Esteban Ocon;Fernando Alonso;George Russell;Guanyu Zhou;Kevin Magnussen;Lance Stroll;Lando Norris;Lewis Hamilton;Liam Lawson;Logan Sargeant;Max Verstappen;Nico Hulkenberg;Nyck De Vries;Oscar Piastri;Pierre Gasly;Sergio Perez;Valtteri Bottas;Yuki Tsunoda
0;1;Bahrain;1;1;0;;0;1;1;1;1;1;1;1;;1;1;1;1.0;0;1;1;1;1
1;2;Saudi Arabia;0;1;1;;1;1;1;1;1;0;1;1;;1;1;1;1.0;1;1;1;1;1
2;3;Australia;0;1;0;;0;1;0;1;0;1;1;1;;0;1;1;0.0;1;0;1;1;1
3;4;Azerbaijan;1;1;1;;1;1;1;0;1;1;1;1;;1;1;1;0.0;1;1;1;1;1
4;5;Miami;1;1;1;;1;1;1;1;1;1;1;1;;1;1;1;1.0;1;1;1;1;1
5;6;Monaco;1;1;1;;1;1;1;1;0;0;1;1;;1;1;1;1.0;1;1;1;1;1
6;7;Spain;1;1;1;;1;1;1;1;1;1;1;1;;1;1;1;1.0;1;1;1;1;1
7;8;Canada;1;1;1;;1;1;0;1;1;1;1;1;;0;1;1;1.0;1;1;1;1;1
8;9;Austria;1;1;1;;1;1;1;1;1;1;1;1;;1;1;0;1.0;1;1;1;1;1
9;10;Great Britain;1;1;1;;0;1;1;1;0;1;1;1;;1;1;1;1.0;1;0;1;1;1
10;11;Hungary;1;1;1;1.0;0;1;1;1;1;1;1;1;;0;1;1;;1;0;1;1;1
11;12;Belgium;1;0;1;1.0;1;1;1;1;1;1;1;1;;1;1;1;;0;1;1;1;1
12;13;Netherlands;1;1;0;;1;1;1;0;1;1;1;1;1.0;0;1;1;;1;1;1;1;1
13;14;Italy;1;1;1;;0;1;1;1;1;1;1;1;1.0;1;1;1;;1;1;1;1;0
14;15;Singapore;1;1;1;;0;1;0;1;1;0;1;1;1.0;1;1;1;;1;1;1;0;0
15;16;Japan;0;1;1;;1;1;1;1;1;0;1;1;1.0;0;1;1;;1;1;0;0;1
16;17;Qatar;1;0;1;;1;1;1;1;1;1;1;0;1.0;0;1;1;;1;1;1;1;1
17;18;United States;1;1;1;1.0;0;0;1;1;1;1;1;1;;1;1;1;;0;1;1;1;1
18;19;Mexico;1;1;1;1.0;1;0;1;1;0;0;1;1;;0;1;1;;1;1;0;1;1
19;20;Brazil;0;1;0;1.0;1;1;0;0;0;1;1;1;;1;1;1;;1;1;1;0;1
20;21;Las Vegas;1;1;1;1.0;1;1;1;1;1;1;0;1;;1;1;0;;1;1;1;1;0
21;22;Abu Dhabi;1;0;1;1.0;1;1;1;1;1;1;1;1;;1;1;1;;1;1;1;1;1
