;Round;Track;Alexander Albon;Carlos Sainz;Charles Leclerc;Daniel Ricciardo;Esteban Ocon;Fernando Alonso;George Russell;Guanyu Zhou;Kevin Magnussen;Lance Stroll;Lando Norris;Lewis Hamilton;Liam Lawson;Logan Sargeant;Max Verstappen;Nico Hulkenberg;Nyck De Vries;Oscar Piastri;Pierre Gasly;Sergio Perez;Valtteri Bottas;Yuki Tsunoda
0;1;Bahrain;0;0;0;;0;0;0;1;0;0;0;0;;0;0;0;0.0;0;0;0;0;0
1;2;Saudi Arabia;0;0;0;;0;0;0;0;0;0;0;0;;0;1;0;0.0;0;0;0;0;0
2;3;Australia;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0.0;0;0;1;0;0
3;4;Azerbaijan;0;0;0;;0;0;1;0;0;0;0;0;;0;0;0;0.0;0;0;0;0;0
4;5;Miami;0;0;0;;0;0;0;0;0;0;0;0;;0;1;0;0.0;0;0;0;0;0
5;6;Monaco;0;0;0;;0;0;0;0;0;0;0;1;;0;0;0;0.0;0;0;0;0;0
6;7;Spain;0;0;0;;0;0;0;0;0;0;0;0;;0;1;0;0.0;0;0;0;0;0
7;8;Canada;0;0;0;;0;0;0;0;0;0;0;0;;0;0;0;0.0;0;0;1;0;0
8;9;Austria;0;0;0;;0;0;0;0;0;0;0;0;;0;1;0;0.0;0;0;0;0;0
9;10;Great Britain;0;0;0;;0;0;0;0;0;0;0;0;;0;1;0;0.0;0;0;0;0;0
10;11;Hungary;0;0;0;0.0;0;0;0;0;0;0;0;0;;0;1;0;;0;0;0;0;0
11;12;Belgium;0;0;0;0.0;0;0;0;0;0;0;0;1;;0;0;0;;0;0;0;0;0
12;13;Netherlands;0;0;0;;0;1;0;0;0;0;0;0;0.0;0;0;0;;0;0;0;0;0
13;14;Italy;0;0;0;;0;0;0;0;0;0;0;0;0.0;0;0;0;;1;0;0;0;0
14;15;Singapore;0;0;0;;0;0;0;0;0;0;0;1;0.0;0;0;0;;0;0;0;0;0
15;16;Japan;0;0;0;;0;0;0;0;0;0;0;0;0.0;0;1;0;;0;0;0;0;0
16;17;Qatar;0;0;0;;0;0;0;0;0;0;0;0;0.0;0;1;0;;0;0;0;0;0
17;18;United States;0;0;0;0.0;0;0;0;0;0;0;0;0;;0;0;0;;0;0;0;0;1
18;19;Mexico;0;0;0;0.0;0;0;0;0;0;0;0;1;;0;0;0;;0;0;0;0;0
19;20;Brazil;0;0;0;0.0;0;0;0;0;0;0;1;0;;0;0;0;;0;0;0;0;0
20;21;Las Vegas;0;0;0;0.0;0;0;0;0;0;0;0;0;;0;0;0;;1;0;0;0;0
21;22;Abu Dhabi;0;0;0;0.0;0;0;0;0;0;0;0;0;;0;1;0;;0;0;0;0;0
