;Round;Track;Alexander Albon;Carlos Sainz;Charles Leclerc;Daniel Ricciardo;Esteban Ocon;Fernando Alonso;George Russell;Guanyu Zhou;Kevin Magnussen;Lance Stroll;Lando Norris;Lewis Hamilton;Liam Lawson;Logan Sargeant;Max Verstappen;Nico Hulkenberg;Nyck De Vries;Oscar Piastri;Pierre Gasly;Sergio Perez;Valtteri Bottas;Yuki Tsunoda
0;1;Bahrain;1:37.144;1:37.130;1:37.170;;1:36.797;1:36.156;1:37.221;1:33.996;1:36.471;1:36.546;1:35.822;1:36.546;;1:36.037;1:36.236;1:36.616;1:37.709;1:40.691;1:35.068;1:36.344;1:37.379;1:36.637
1;2;Saudi Arabia;1:35.567;1:32.822;1:33.056;;1:33.222;1:32.240;1:32.433;1:33.894;1:33.374;1:35.140;1:34.122;1:32.941;;1:34.469;1:31.906;1:33.780;1:33.609;1:34.287;1:33.392;1:32.188;1:34.384;1:33.931
2;3;Australia;1:23.349;1:20.467;;;1:21.203;1:20.476;1:22.680;1:21.819;1:21.685;1:20.934;1:21.173;1:20.613;;1:21.456;1:20.342;1:21.124;1:21.183;1:21.335;1:20.995;1:20.235;1:22.233;1:21.789
3;4;Azerbaijan;1:45.925;1:45.175;1:44.561;;1:45.908;1:44.241;1:43.370;1:47.553;1:45.850;1:45.627;1:45.738;1:45.346;;1:46.501;1:44.232;1:46.731;1:48.781;1:45.631;1:45.540;1:44.589;1:46.304;1:45.727
4;5;Miami;1:31.852;1:31.362;1:31.434;;1:31.143;1:30.519;1:31.015;1:31.736;1:31.691;1:30.862;1:32.401;1:30.669;;1:32.384;1:29.708;1:30.901;1:31.562;1:32.006;1:31.971;1:30.560;1:31.838;1:31.038
5;6;Monaco;1:16.672;1:16.449;1:15.773;;1:16.528;1:16.674;1:16.798;1:16.926;1:18.351;1:17.769;1:17.844;1:15.650;;1:17.302;1:16.604;1:16.991;1:17.561;1:17.513;1:15.831;1:16.269;1:17.824;1:17.680
6;7;Spain;1:19.133;1:18.403;1:18.357;;1:18.946;1:18.083;1:17.875;1:18.753;1:18.069;1:18.722;1:17.182;1:16.676;;1:19.247;1:16.330;1:18.776;1:18.594;1:18.679;1:18.375;1:16.666;1:18.242;1:18.904
7;8;Canada;1:16.917;1:15.911;1:15.907;;1:16.782;1:15.779;1:17.097;1:17.090;1:16.126;1:16.564;1:16.374;1:15.396;;1:18.437;1:15.594;1:17.232;1:16.656;1:16.598;1:16.425;1:14.481;1:16.625;1:16.666
8;9;Austria;1:09.560;1:08.880;1:08.820;;1:09.797;1:09.108;1:09.283;1:09.786;1:10.176;1:08.463;1:08.739;1:09.160;;1:09.611;1:07.012;1:11.066;1:09.852;1:09.862;1:09.046;1:08.111;1:09.940;1:09.620
9;10;Great Britain;1:31.273;1:31.366;1:31.255;;1:33.941;1:31.338;1:31.124;1:31.769;1:33.356;1:31.508;1:30.543;1:30.545;;1:31.699;1:30.275;1:31.776;1:32.353;1:30.850;1:31.539;1:30.914;1:31.852;1:32.084
10;11;Hungary;1:24.051;1:22.584;1:22.469;1:23.934;;1:22.745;1:22.158;1:23.743;1:23.864;1:23.425;1:22.178;1:21.601;;1:23.496;1:20.504;1:23.573;;1:22.736;;1:22.295;1:23.651;1:23.269
11;12;Belgium;1:49.841;1:53.138;1:50.436;1:50.994;1:50.439;1:50.938;1:50.603;1:50.188;1:50.993;1:51.297;1:51.682;1:47.305;;1:50.486;1:48.922;1:49.907;;;1:50.911;1:50.308;1:50.515;1:51.394
12;13;Netherlands;1:14.468;1:14.934;1:17.277;;1:14.570;1:13.837;1:15.124;1:15.417;1:15.489;1:15.171;1:14.390;1:13.904;1:14.820;1:17.399;1:13.889;1:14.472;;1:14.299;1:14.441;1:14.231;1:14.698;1:16.253
