;Round;Track;Alexander Albon;Carlos Sainz;Charles Leclerc;Daniel Ricciardo;Esteban Ocon;Fernando Alonso;George Russell;Guanyu Zhou;Kevin Magnussen;Lance Stroll;Lando Norris;Lewis Hamilton;Liam Lawson;Logan Sargeant;Max Verstappen;Nico Hulkenberg;Nyck De Vries;Oscar Piastri;Pierre Gasly;Sergio Perez;Valtteri Bottas;Yuki Tsunoda
0;1;Bahrain;10.0;4.0;;;;3.0;7.0;16.0;13.0;6.0;17.0;5;;12.0;1;15.0;14.0;;9.0;2.0;8.0;11.0
1;2;Saudi Arabia;;6.0;7;;8.0;3.0;4.0;13.0;10.0;;17.0;5;;16.0;2;12.0;14.0;15.0;9.0;1.0;18.0;11.0
2;3;Australia;;12.0;;;14.0;3.0;;9.0;17.0;4.0;6.0;2;;16.0;1;7.0;15.0;8.0;13.0;5.0;11.0;10.0
3;4;Azerbaijan;12.0;5.0;3;;15.0;4.0;8.0;;13.0;7.0;9.0;6;;16.0;2;17.0;;11.0;14.0;1.0;18.0;10.0
4;5;Miami;14.0;5.0;7;;9.0;3.0;4.0;16.0;10.0;12.0;17.0;6;;20.0;1;15.0;18.0;19.0;8.0;2.0;13.0;11.0
5;6;Monaco;14.0;8.0;6;;3.0;2.0;5.0;13.0;19.0;;9.0;4;;18.0;1;17.0;12.0;10.0;7.0;16.0;11.0;15.0
6;7;Spain;16.0;5.0;11;;8.0;7.0;3.0;9.0;18.0;6.0;17.0;2;;20.0;1;15.0;14.0;13.0;10.0;4.0;19.0;12.0
7;8;Canada;7.0;5.0;4;;8.0;2.0;;16.0;17.0;9.0;13.0;3;;;1;15.0;18.0;11.0;12.0;6.0;10.0;14.0
8;9;Austria;11.0;6.0;2;;14.0;5.0;7.0;12.0;18.0;9.0;4.0;8;;13.0;1;;17.0;16.0;10.0;3.0;15.0;19.0
9;10;Great Britain;8.0;10.0;9;;;7.0;5.0;15.0;;14.0;2.0;3;;11.0;1;13.0;17.0;4.0;18.0;6.0;12.0;16.0
10;11;Hungary;11.0;8.0;7;13.0;;9.0;6.0;16.0;17.0;10.0;2.0;4;;18.0;1;14.0;;5.0;;3.0;12.0;15.0
11;12;Belgium;14.0;;3;16.0;8.0;5.0;6.0;13.0;15.0;9.0;7.0;4;;17.0;1;18.0;;;11.0;2.0;12.0;10.0
12;13;Netherlands;8.0;5.0;;;10.0;2.0;17.0;;16.0;11.0;7.0;6;13.0;;1;12.0;;9.0;3.0;4.0;14.0;15.0
13;14;Italy;7.0;3.0;4;;;9.0;5.0;14.0;18.0;16.0;8.0;6;11.0;13.0;1;17.0;;12.0;15.0;2.0;10.0;
14;15;Singapore;11.0;1.0;4;;;15.0;16.0;12.0;10.0;;2.0;3;9.0;14.0;5;13.0;;7.0;6.0;8.0;;
15;16;Japan;;6.0;4;;9.0;8.0;7.0;13.0;15.0;;2.0;5;11.0;;1;14.0;;3.0;10.0;;;12.0
16;17;Qatar;13.0;;5;;7.0;6.0;4.0;9.0;14.0;11.0;3.0;;17.0;;1;16.0;;2.0;12.0;10.0;8.0;15.0
17;18;United States;9.0;3.0;DQ;15.0;;;5.0;13.0;14.0;7.0;2.0;DQ;;10.0;1;11.0;;;6.0;4.0;12.0;8.0
18;19;Mexico;9.0;4.0;3;7.0;10.0;;6.0;14.0;;17.0;5.0;2;;16.0;1;13.0;;8.0;11.0;;15.0;12.0
19;20;Brazil;;6.0;;13.0;10.0;3.0;;;;5.0;2.0;8;;11.0;1;12.0;;14.0;7.0;4.0;;9.0
20;21;Las Vegas;12.0;6.0;2;14.0;4.0;9.0;8.0;15.0;13.0;5.0;;7;;16.0;1;19.0;;10.0;11.0;3.0;17.0;18.0
21;22;Abu Dhabi;14.0;18.0;2;11.0;12.0;7.0;3.0;17.0;20.0;10.0;5.0;9;;16.0;1;15.0;;6.0;13.0;4.0;19.0;8.0
