Track;Alexander Albon;Carlos Sainz;Charles Leclerc;Daniel Ricciardo;Esteban Ocon;Fernando Alonso;George Russell;Guanyu Zhou;Kevin Magnussen;Lance Stroll;Lando Norris;Lewis Hamilton;Liam Lawson;Logan Sargeant;Max Verstappen;Nico Hulkenberg;Nyck De Vries;Oscar Piastri;Pierre Gasly;Sergio Perez;Valtteri Bottas;Yuki Tsunoda
Abu Dhabi;True;False;True;True;True;True;True;True;True;True;True;True;;True;True;True;;True;True;True;True;True
Australia;False;True;False;;False;True;False;True;False;True;True;True;;False;True;True;False;True;False;True;True;True
Austria;True;True;True;;True;True;True;True;True;True;True;True;;True;True;False;True;True;True;True;True;True
Azerbaijan;True;True;True;;True;True;True;False;True;True;True;True;;True;True;True;False;True;True;True;True;True
Bahrain;True;True;False;;False;True;True;True;True;True;True;True;;True;True;True;True;False;True;True;True;True
Belgium;True;False;True;True;True;True;True;True;True;True;True;True;;True;True;True;;False;True;True;True;True
Brazil;False;True;False;True;True;True;False;False;False;True;True;True;;True;True;True;;True;True;True;False;True
Canada;True;True;True;;True;True;False;True;True;True;True;True;;False;True;True;True;True;True;True;True;True
Great Britain;True;True;True;;False;True;True;True;False;True;True;True;;True;True;True;True;True;False;True;True;True
Hungary;True;True;True;True;False;True;True;True;True;True;True;True;;False;True;True;;True;False;True;True;True
Italy;True;True;True;;False;True;True;True;True;True;True;True;True;True;True;True;;True;True;True;True;False
Japan;False;True;True;;True;True;True;True;True;False;True;True;True;False;True;True;;True;True;False;False;True
Las Vegas;True;True;True;True;True;True;True;True;True;True;False;True;;True;True;False;;True;True;True;True;False
Mexico;True;True;True;True;True;False;True;True;False;False;True;True;;False;True;True;;True;True;False;True;True
Miami;True;True;True;;True;True;True;True;True;True;True;True;;True;True;True;True;True;True;True;True;True
Monaco;True;True;True;;True;True;True;True;False;False;True;True;;True;True;True;True;True;True;True;True;True
Netherlands;True;True;False;;True;True;True;False;True;True;True;True;True;False;True;True;;True;True;True;True;True
Qatar;True;False;True;;True;True;True;True;True;True;True;False;True;False;True;True;;True;True;True;True;True
Saudi Arabia;False;True;True;;True;True;True;True;True;False;True;True;;True;True;True;True;True;True;True;True;True
Singapore;True;True;True;;False;True;False;True;True;False;True;True;True;True;True;True;;True;True;True;False;False
Spain;True;True;True;;True;True;True;True;True;True;True;True;;True;True;True;True;True;True;True;True;True
United States;True;True;True;True;False;False;True;True;True;True;True;True;;True;True;True;;False;True;True;True;True
