Track;Alexander Albon;Carlos Sainz;Charles Leclerc;Daniel Ricciardo;Esteban Ocon;Fernando Alonso;George Russell;Guanyu Zhou;Kevin Magnussen;Lance Stroll;Lando Norris;Lewis Hamilton;Liam Lawson;Logan Sargeant;Max Verstappen;Nico Hulkenberg;Nyck De Vries;Oscar Piastri;Pierre Gasly;Sergio Perez;Valtteri Bottas;Yuki Tsunoda
Abu Dhabi;False;False;False;False;False;False;False;False;False;False;False;False;;False;True;False;;False;False;False;False;False
Australia;False;False;False;;False;False;False;False;False;False;False;False;;False;False;False;False;False;False;True;False;False
Austria;False;False;False;;False;False;False;False;False;False;False;False;;False;True;False;False;False;False;False;False;False
Azerbaijan;False;False;False;;False;False;True;False;False;False;False;False;;False;False;False;False;False;False;False;False;False
Bahrain;False;False;False;;False;False;False;True;False;False;False;False;;False;False;False;False;False;False;False;False;False
Belgium;False;False;False;False;False;False;False;False;False;False;False;True;;False;False;False;;False;False;False;False;False
Brazil;False;False;False;False;False;False;False;False;False;False;True;False;;False;False;False;;False;False;False;False;False
Canada;False;False;False;;False;False;False;False;False;False;False;False;;False;False;False;False;False;False;True;False;False
Great Britain;False;False;False;;False;False;False;False;False;False;False;False;;False;True;False;False;False;False;False;False;False
Hungary;False;False;False;False;False;False;False;False;False;False;False;False;;False;True;False;;False;False;False;False;False
Italy;False;False;False;;False;False;False;False;False;False;False;False;False;False;False;False;;True;False;False;False;False
Japan;False;False;False;;False;False;False;False;False;False;False;False;False;False;True;False;;False;False;False;False;False
Las Vegas;False;False;False;False;False;False;False;False;False;False;False;False;;False;False;False;;True;False;False;False;False
Mexico;False;False;False;False;False;False;False;False;False;False;False;True;;False;False;False;;False;False;False;False;False
Miami;False;False;False;;False;False;False;False;False;False;False;False;;False;True;False;False;False;False;False;False;False
Monaco;False;False;False;;False;False;False;False;False;False;False;True;;False;False;False;False;False;False;False;False;False
Netherlands;False;False;False;;False;True;False;False;False;False;False;False;False;False;False;False;;False;False;False;False;False
Qatar;False;False;False;;False;False;False;False;False;False;False;False;False;False;True;False;;False;False;False;False;False
Saudi Arabia;False;False;False;;False;False;False;False;False;False;False;False;;False;True;False;False;False;False;False;False;False
Singapore;False;False;False;;False;False;False;False;False;False;False;True;False;False;False;False;;False;False;False;False;False
Spain;False;False;False;;False;False;False;False;False;False;False;False;;False;True;False;False;False;False;False;False;False
United States;False;False;False;False;False;False;False;False;False;False;False;False;;False;False;False;;False;False;False;False;True
