Track;Alexander Albon;Carlos Sainz;Charles Leclerc;Daniel Ricciardo;Esteban Ocon;Fernando Alonso;George Russell;Guanyu Zhou;Kevin Magnussen;Lance Stroll;Lando Norris;Lewis Hamilton;Liam Lawson;Logan Sargeant;Max Verstappen;Nico Hulkenberg;Nyck De Vries;Oscar Piastri;Pierre Gasly;Sergio Perez;Valtteri Bottas;Yuki Tsunoda
Abu Dhabi;14;16;2;15.0;12;7;4;19;17;13;5;11;;20;1;8;;3;10;9;18;6
Australia;8;5;7;;11;4;2;17;14;6;13;3;;18;1;10;15.0;16;9;20;19;12
Austria;10;3;2;;12;7;11;17;19;6;4;5;;18;1;8;20.0;13;9;15;14;16
Azerbaijan;12;4;1;;19;6;11;15;16;9;7;5;;14;2;20;18.0;10;17;3;13;8
Bahrain;15;4;3;;9;5;6;13;17;8;11;7;;16;1;10;19.0;18;20;2;12;14
Belgium;15;4;1;19.0;14;9;8;17;16;10;7;3;;18;6;20;;5;12;2;13;11
Brazil;13;7;2;17.0;14;4;8;20;12;3;6;5;;19;1;11;;10;15;9;18;16
Canada;9;11;10;;6;2;4;20;13;16;7;3;;18;1;5;17.0;8;15;12;14;19
Great Britain;8;5;4;;13;9;6;17;19;12;2;7;;14;1;11;18.0;3;10;15;20;16
Hungary;16;11;6;13.0;12;8;18;5;19;14;3;1;;20;2;10;;4;15;9;7;17
Italy;6;1;3;;18;10;4;16;19;20;9;8;12.0;15;2;13;;7;17;5;14;11
Japan;13;6;4;;14;10;8;19;15;17;3;7;11.0;20;1;18;;2;12;5;16;9
Las Vegas;5;12;1;14.0;16;9;3;17;8;19;15;10;;6;2;13;;18;4;11;7;20
Mexico;14;2;1;4.0;15;13;8;10;16;20;17;6;;19;3;12;;7;11;5;9;18
Miami;11;3;7;;8;2;6;14;4;18;16;13;;20;9;12;15.0;19;5;1;10;17
Monaco;13;4;6;;3;2;8;19;17;14;10;5;;16;1;18;12.0;11;7;20;15;9
Netherlands;4;6;9;;16;5;3;15;20;11;2;13;19.0;10;1;14;;8;12;7;18;17
Qatar;13;12;5;;8;4;2;19;18;16;10;3;17.0;15;1;14;;6;7;20;9;11
Saudi Arabia;17;4;12;;6;2;3;11;13;5;19;7;;20;15;10;18.0;8;9;1;14;16
Singapore;14;1;3;;8;7;2;19;6;20;4;5;10.0;18;11;9;;17;12;13;16;15
Spain;18;2;19;;6;8;12;13;17;5;3;4;;20;1;7;14.0;9;10;11;16;15
United States;15;4;1;14.0;8;19;5;12;17;20;2;3;;16;6;18;;10;7;9;13;11
