Track;Alexander Albon;Carlos Sainz;Charles Leclerc;Daniel Ricciardo;Esteban Ocon;Fernando Alonso;George Russell;Guanyu Zhou;Kevin Magnussen;Lance Stroll;Lando Norris;Lewis Hamilton;Liam Lawson;Logan Sargeant;Max Verstappen;Nico Hulkenberg;Nyck De Vries;Oscar Piastri;Pierre Gasly;Sergio Perez;Valtteri Bottas;Yuki Tsunoda
Abu Dhabi;14;18;2;11;12;7;3;17;20;10;5;9;;16;1;15;;6;13;4;19;8
Australia;;12;;;14;3;;9;17;4;6;2;;16;1;7;15;8;13;5;11;10
Austria;11;6;2;;14;5;7;12;18;9;4;8;;13;1;;17;16;10;3;15;19
Azerbaijan;12;5;3;;15;4;8;;13;7;9;6;;16;2;17;;11;14;1;18;10
Bahrain;10;4;;;;3;7;16;13;6;17;5;;12;1;15;14;;9;2;8;11
Belgium;14;;3;16;8;5;6;13;15;9;7;4;;17;1;18;;;11;2;12;10
Brazil;;6;;13;10;3;;;;5;2;8;;11;1;12;;14;7;4;;9
Canada;7;5;4;;8;2;;16;17;9;13;3;;;1;15;18;11;12;6;10;14
Great Britain;8;10;9;;;7;5;15;;14;2;3;;11;1;13;17;4;18;6;12;16
Hungary;11;8;7;13;;9;6;16;17;10;2;4;;18;1;14;;5;;3;12;15
Italy;7;3;4;;;9;5;14;18;16;8;6;11;13;1;17;;12;15;2;10;
Japan;;6;4;;9;8;7;13;15;;2;5;11;;1;14;;3;10;;;12
Las Vegas;12;6;2;14;4;9;8;15;13;5;;7;;16;1;19;;10;11;3;17;18
Mexico;9;4;3;7;10;;6;14;;17;5;2;;16;1;13;;8;11;;15;12
Miami;14;5;7;;9;3;4;16;10;12;17;6;;20;1;15;18;19;8;2;13;11
Monaco;14;8;6;;3;2;5;13;19;;9;4;;18;1;17;12;10;7;16;11;15
Netherlands;8;5;;;10;2;17;;16;11;7;6;13;;1;12;;9;3;4;14;15
Qatar;13;;5;;7;6;4;9;14;11;3;;17;;1;16;;2;12;10;8;15
Saudi Arabia;;6;7;;8;3;4;13;10;;17;5;;16;2;12;14;15;9;1;18;11
Singapore;11;1;4;;;15;16;12;10;;2;3;9;14;5;13;;7;6;8;;
Spain;16;5;11;;8;7;3;9;18;6;17;2;;20;1;15;14;13;10;4;19;12
United States;9;3;DQ;15;;;5;13;14;7;2;DQ;;10;1;11;;;6;4;12;8
